Name,Platform,YearOfRelease,Genre,Publisher,Developer,NorthAmericaSales,EuropeSales,JapanSales,OtherSales,GlobalSales,CriticScore,UserScore,UserCount
SSX 3,GBA,2003,Sports,Electronic Arts,Visual Impact,0.09,0.03,0,0,0.12,63,2,15
Spyro: Attack of the Rhynocs,GBA,2003,Platform,Universal Interactive,Digital Eclipse,0.22,0.08,0,0.01,0.3,72,7.5,15
Spy Kids 3-D: Game Over,GBA,2003,Platform,Disney Interactive Studios,Digital Eclipse,0.24,0.09,0,0.01,0.33,62,7.7,6
Spy Hunter 2,PS2,2003,Racing,Midway Games,Angel Studios,0.24,0.19,0,0.06,0.49,57,6.4,8
Spy Hunter 2,XB,2003,Racing,Midway Games,Midway,0.1,0.03,0,0,0.13,57,1,45
Spy Fiction,PS2,2003,Action,Sega,Access Games,0.02,0.02,0,0.01,0.04,61,2,26
SpongeBob SquarePants: Battle for Bikini Bottom,PS2,2003,Platform,THQ,Heavy Iron Studios,1.08,0.45,0,0.14,1.67,71,9,85
SpongeBob SquarePants: Battle for Bikini Bottom,GBA,2003,Platform,THQ,Vicarious Visions,0.88,0.33,0,0.02,1.23,9,7.3,6
SpongeBob SquarePants: Battle for Bikini Bottom,GC,2003,Platform,THQ,Heavy Iron Studios,0.74,0.19,0,0.03,0.95,71,8.6,34
SpongeBob SquarePants: Battle for Bikini Bottom,XB,2003,Platform,THQ,Heavy Iron Studios,0.45,0.1,0,0.02,0.57,70,8.9,17
SplashDown: Rides Gone Wild,PS2,2003,Racing,THQ,Rainbow Studios,0.24,0.19,0,0.06,0.5,80,8.7,16
Sphinx and the Cursed Mummy,GC,2003,Action,THQ,Eurocom Entertainment Software,0.11,0.03,0,0,0.14,79,8.8,12
Sphinx and the Cursed Mummy,XB,2003,Action,THQ,Eurocom Entertainment Software,0.09,0.02,0,0,0.12,79,9.1,11
Speed Kings,PS2,2003,Racing,Acclaim Entertainment,Climax Group,0.05,0.04,0,0.01,0.09,61,7.8,6
Speed Kings,XB,2003,Racing,Acclaim Entertainment,Climax Group,0.04,0.01,0,0,0.05,60,8.8,4
Speed Kings,GC,2003,Racing,Acclaim Entertainment,Climax Group,0.01,0,0,0,0.02,59,1,41
Spawn: Armageddon,PS2,2003,Action,Electronic Arts,Point of View,0.22,0.17,0,0.06,0.44,56,7.4,21
Spawn: Armageddon,XB,2003,Action,Electronic Arts,Point of View,0.13,0.04,0,0.01,0.17,57,9.2,5
Spawn: Armageddon,GC,2003,Action,Electronic Arts,Point of View,0.05,0.01,0,0,0.07,61,7.2,9
Space Raiders,GC,2003,Shooter,Taito,Taito Corporation,0.01,0,0,0,0.01,40,1,7
Space Channel 5 Special Edition,PS2,2003,Misc,Agetec,UGA,0.04,0.03,0,0.01,0.08,79,8.6,10
SoulCalibur II,PS2,2003,Fighting,Namco Bandai Games,Namco,1.06,0.62,0.13,0.25,2.06,92,8.8,120
SoulCalibur II,GC,2003,Fighting,Namco Bandai Games,Namco,0.99,0.32,0.11,0.08,1.5,93,9.1,135
SoulCalibur II,XB,2003,Fighting,Namco Bandai Games,Namco,0.78,0.18,0.03,0,1,92,8.9,54
Sonic Heroes,PS2,2003,Platform,Sega,Sonic Team,1.04,1.37,0.06,0.49,2.96,64,7.8,94
Sonic Heroes,GC,2003,Platform,Sega,Sonic Team,1.05,0.44,0.06,0.04,1.6,72,7.8,125
Sonic Heroes,XB,2003,Platform,Sega,Sonic Team,0.41,0.43,0.01,0.05,0.9,73,7.6,34
Sonic Adventure DX: Director's Cut,GC,2003,Platform,Sega,Sonic Team,0.87,0.3,0.06,0.03,1.27,57,7.9,139
Soldier of Fortune II: Double Helix,XB,2003,Shooter,Activision,Gratuitous Games,0.17,0.05,0,0.01,0.23,61,6.5,13
SOCOM II: U.S. Navy SEALs,PS2,2003,Shooter,Sony Computer Entertainment,Zipper Interactive,2.22,0.51,0.06,0.15,2.94,87,9,93
Smash Cars,PS2,2003,Racing,Metro 3D,Creat Studios,0.06,0.04,0,0.01,0.11,67,9,5
Sitting Ducks,GBA,2003,Platform,LSP Games,LSP,0.02,0.01,0,0,0.03,35,1,6
Siren,PS2,2003,Adventure,Sony Computer Entertainment,SCE Japan Studio,0.09,0.07,0,0.02,0.18,72,7.8,41
SimCity 4: Deluxe Edition,PC,2003,Simulation,Electronic Arts,Maxis,0,0.06,0,0.01,0.07,1,8.3,37
SimCity 4,PC,2003,Simulation,Electronic Arts,Maxis,0.01,0.24,0,0.03,0.29,84,8.7,268
SimCity 2000,GBA,2003,Simulation,Zoo Digital Publishing,Full-Fat,0.08,0.03,0,0,0.11,62,7.8,11
Silent Hill 3,PS2,2003,Action,Konami Digital Entertainment,KCET,0.35,0.27,0,0.09,0.71,85,8.8,315
Shrek: Reekin' Havoc,GBA,2003,Platform,TDK Mediactive,TOSE,0.15,0.06,0,0,0.21,57,2,33
Shrek Super Party,GC,2003,Misc,TDK Mediactive,Mass Media,0.04,0.01,0,0,0.05,40,7.3,7
Shining Soul II,GBA,2003,Role-Playing,THQ,Grasshopper Manufacture,0.06,0.02,0,0,0.08,74,8.3,9
Shin Megami Tensei: Nocturne,PS2,2003,Role-Playing,Ghostlight,Atlus Co.,0.07,0.05,0.25,0.02,0.38,82,8.7,83
Sega GT Online,XB,2003,Racing,Sega,Wow Entertainment,0.06,0.02,0,0,0.08,72,9.2,5
Sega Arcade Gallery,GBA,2003,Misc,THQ,Bits Studios,0.03,0.01,0,0,0.04,70,1,38
Secret Weapons Over Normandy,PS2,2003,Simulation,LucasArts,Totally Games,0.24,0.18,0,0.06,0.48,81,8.2,19
Secret Weapons Over Normandy,XB,2003,Simulation,LucasArts,Totally Games,0.19,0.05,0,0.01,0.25,77,8.8,4
Scooby-Doo! Mystery Mayhem,GBA,2003,Action,THQ,Artificial Mind and Movement,0.31,0.12,0,0.01,0.44,53,1,30
Samurai Jack: The Amulet of Time,GBA,2003,Platform,Zoo Digital Publishing,Virtucraft,0.16,0.06,0,0,0.22,63,2,36
Rugby 2004,PS2,2003,Sports,Electronic Arts,HB Studios Multimedia,0.11,0.08,0,0.03,0.22,61,6.8,65
RTX Red Rock,PS2,2003,Shooter,LucasArts,LucasArts,0.04,0.03,0,0.01,0.08,49,5,4
Romance of the Three Kingdoms IX,PS2,2003,Strategy,Tecmo Koei,Koei,0.03,0.03,0,0.01,0.07,74,8.9,10
RollerCoaster Tycoon 2: Triple Thrill Pack,PC,2003,Strategy,Atari,"Frontier Developments, Various",0,0.02,0,0,0.03,4,3.2,26
RollerCoaster Tycoon,XB,2003,Strategy,Atari,Atari,0.1,0.03,0,0,0.13,62,8.3,12
Rogue Ops,PS2,2003,Action,Kemco,Bits Studios,0.11,0.09,0,0.03,0.23,61,9.2,6
Rogue Ops,XB,2003,Action,Kemco,Bits Studios,0.1,0.03,0,0,0.13,63,1,40
Rogue Ops,GC,2003,Action,Kemco,Bits Studios,0.04,0.01,0,0,0.05,65,2,44
Rock 'N Roll Racing,GBA,2003,Racing,Activision,Mass Media,0.03,0.01,0,0,0.05,80,9.4,5
RoboCop,XB,2003,Shooter,Titus,Titus Software,0.01,0,0,0,0.02,30,3.6,12
Robin Hood: Defender of the Crown,PS2,2003,Strategy,Capcom,Cinemaware,0.09,0.07,0,0.02,0.19,59,5.6,5
Robin Hood: Defender of the Crown,XB,2003,Strategy,Capcom,Atomic Planet Entertainment,0.02,0.01,0,0,0.03,57,1,45
RoadKill,PS2,2003,Action,Midway Games,Terminal Reality,0.08,0.07,0,0.02,0.17,71,7.9,11
RoadKill,XB,2003,Action,Midway Games,Terminal Reality,0.06,0.02,0,0,0.08,68,7.4,5
RoadKill,GC,2003,Action,Midway Games,Terminal Reality,0.02,0.01,0,0,0.03,64,2,8
Road Rash: Jailbreak,GBA,2003,Racing,Zoo Digital Publishing,Magic Pockets,0.07,0.03,0,0,0.1,78,9.3,23
RLH: Run Like Hell,XB,2003,Shooter,Avalon Interactive,Digital Mayhem,0.03,0.01,0,0,0.04,55,8,5
Risk: Global Domination,PS2,2003,Strategy,Atari,Cyberlore Studios,0.19,0.15,0,0.05,0.38,60,8.8,25
Rise of Nations,PC,2003,Strategy,Microsoft Game Studios,Big Huge Games,0.01,0.02,0,0.01,0.04,89,9,274
Ribbit King,PS2,2003,Sports,Atari,Bandai,0.05,0.04,0,0.01,0.09,58,6.5,4
Ribbit King,GC,2003,Sports,Atari,Bandai,0.04,0.01,0,0,0.05,60,1,13
Return to Castle Wolfenstein: Tides of War,XB,2003,Shooter,Activision,Nerve Software,0.49,0.16,0,0.02,0.67,84,8.8,33
Return to Castle Wolfenstein: Operation Resurrection,PS2,2003,Shooter,Activision,Raster,0.26,0.2,0,0.07,0.53,66,8,23
Resident Evil: Outbreak,PS2,2003,Action,Capcom,Capcom,0.54,0.35,0.46,0.1,1.45,71,8.3,94
Resident Evil: Dead Aim,PS2,2003,Action,Capcom,Cavia Inc.,0.17,0.13,0,0.04,0.35,65,6.6,48
Resident Evil 3: Nemesis,GC,2003,Action,Capcom,Capcom,0.06,0.02,0,0,0.08,62,8.3,44
Resident Evil 2,GC,2003,Action,Capcom,Capcom,0.04,0.01,0,0,0.06,59,8.5,31
Resident Evil - Code: Veronica X,GC,2003,Action,Capcom,Nex Entertainment,0.05,0.01,0,0,0.06,62,8.5,32
Reel Fishing III,PS2,2003,Sports,Natsume,Open Sesame,0.18,0.14,0,0.05,0.37,8,7.8,19
Red Faction II,XB,2003,Shooter,THQ,Outrage Games,0.09,0.03,0,0,0.12,74,5.8,11
Red Faction II,GC,2003,Shooter,THQ,Cranky Pants Games,0.03,0.01,0,0,0.03,79,7.3,4
Rayman 3: Hoodlum Havoc,PS2,2003,Platform,Ubisoft,Ubisoft,0.14,0.11,0,0.04,0.29,76,8.6,38
Rayman 3: Hoodlum Havoc,GC,2003,Platform,Ubisoft,Ubisoft Shanghai,0.05,0.01,0,0,0.07,77,8.3,21
Rayman 3: Hoodlum Havoc,XB,2003,Platform,Ubisoft,Ubisoft,0.06,0.02,0,0,0.07,75,7.9,8
Rayman 3: Hoodlum Havoc,PC,2003,Platform,Ubisoft,Ubisoft,0,0.03,0,0,0.03,74,8.3,70
Rayman 3,GBA,2003,Platform,Ubisoft,Ubisoft,0.1,0.04,0,0,0.14,83,7.8,8
Rally Championship,GC,2003,Racing,SCi,SCi,0.01,0,0,0,0.01,63,2,20
Railroad Tycoon 3,PC,2003,Strategy,Gathering of Developers,PopTop Software,0,0.03,0,0,0.04,80,7.7,57
R: Racing Evolution,PS2,2003,Racing,Namco Bandai Games,Namco,0.14,0.11,0,0.04,0.28,66,6.2,5
R: Racing Evolution,XB,2003,Racing,Namco Bandai Games,Namco,0.06,0.02,0,0,0.09,67,2,6
R: Racing Evolution,GC,2003,Racing,Namco Bandai Games,Namco,0.06,0.02,0,0,0.08,67,2,11
R-Type Final,PS2,2003,Shooter,Metro 3D,Irem,0.09,0.07,0,0.02,0.19,79,9.1,21
Pulse Racer,XB,2003,Racing,Jaleco,Jaleco Entertainment,0.01,0,0,0,0.02,24,2.8,17
Pro Race Driver,XB,2003,Racing,Codemasters,Codemasters,0.03,0.01,0,0,0.04,80,7.5,4
Pro Cast Sports Fishing,XB,2003,Sports,Capcom,Capcom,0.02,0.01,0,0,0.03,49,2,22
Prince of Persia: The Sands of Time,PS2,2003,Action,Ubisoft,Ubisoft,0.88,1.03,0,0.31,2.22,92,8.8,204
Prince of Persia: The Sands of Time,XB,2003,Action,Ubisoft,Ubisoft,0.57,0.33,0,0.04,0.94,92,7.8,72
Prince of Persia: The Sands of Time,GC,2003,Action,Ubisoft,Ubisoft,0.25,0.06,0,0.01,0.32,92,8.4,41
Prince of Persia: The Sands of Time,GBA,2003,Action,Ubisoft,Ubisoft Montreal,0.11,0.04,0,0,0.15,75,8.8,5
Primal,PS2,2003,Action,Sony Computer Entertainment,SCEE,0.21,0.17,0,0.06,0.43,73,8.6,53
Pride FC: Fighting Championships,PS2,2003,Fighting,THQ,Anchor,0.15,0.11,0,0.04,0.3,73,8.6,7
Praetorians,PC,2003,Strategy,Eidos Interactive,Pyro Studios,0,0.04,0,0,0.04,78,8.2,38
Power Rangers: Ninja Storm,GBA,2003,Misc,THQ,Natsume,0.24,0.09,0,0.01,0.33,55,7.8,6
Power Rangers: Dino Thunder,GBA,2003,Action,THQ,Natsume,0.35,0.13,0,0.01,0.49,49,2,4
Post Mortem,PC,2003,Adventure,Microids,Microids,0,0.01,0,0,0.02,71,8,28
Pokemon Channel,GC,2003,Adventure,Nintendo,Ambrella,0.24,0.06,0.07,0.01,0.38,55,6,22
Pokémon Colosseum,GC,2003,Role-Playing,Nintendo,Genius Sonority Inc.,1.21,0.57,0.7,0.07,2.54,73,8,89
Pitfall: The Lost Expedition,GBA,2003,Platform,Activision,Torus Games,0.05,0.02,0,0,0.07,66,2,20
Pirates of the Caribbean: The Curse of the Black Pearl,GBA,2003,Platform,TDK Mediactive,Pocket Studios,0.93,0.34,0,0.02,1.29,49,6.2,5
Pirates of the Caribbean,XB,2003,Role-Playing,Ubisoft,Akella,0.22,0.06,0,0.01,0.29,65,7.4,27
Piglet's Big Game,PS2,2003,Platform,Gotham Games,Doki Denki,0.05,0.04,0,0.01,0.1,13,2,28
Piglet's Big Game,GC,2003,Platform,Gotham Games,Doki Denki,0.04,0.01,0,0,0.05,70,8,5
Phantasy Star Online Episode III: C.A.R.D. Revolution,GC,2003,Role-Playing,Sega,Sonic Team,0.06,0.02,0,0,0.08,71,8.2,13
Outlaw Volleyball,XB,2003,Sports,TDK Mediactive,Hypnotix,0.19,0.06,0,0.01,0.26,77,8.4,7
Otogi 2: Immortal Warriors,XB,2003,Action,Sega,From Software,0.04,0.01,0,0,0.05,79,8.3,12
Operation Armored Liberty,GBA,2003,Action,Majesco Entertainment,Majesco Games,0.19,0.07,0,0,0.27,7,2,46
Onimusha: Blade Warriors,PS2,2003,Fighting,Capcom,Capcom,0.06,0.05,0,0.02,0.12,65,6.9,7
Onimusha Tactics,GBA,2003,Strategy,Capcom,Capcom,0.06,0.02,0,0,0.08,64,8.7,7
Oddworld: Munch's Oddysee,GBA,2003,Platform,THQ,Art,0.04,0.02,0,0,0.06,44,2.5,4
Nightshade,PS2,2003,Action,Sega,Wow Entertainment,0.06,0.04,0,0.01,0.12,68,7.7,20
NHL Rivals 2004,XB,2003,Sports,Microsoft Game Studios,Microsoft Game Studios,0.08,0.02,0,0,0.11,65,8.8,20
NHL Hitz Pro,PS2,2003,Sports,Midway Games,Next Level Games,0.09,0.07,0,0.02,0.19,79,8.9,13
NHL Hitz Pro,XB,2003,Sports,Midway Games,Next Level Games,0.05,0.01,0,0,0.07,81,8.8,12
NHL 2004,PS2,2003,Sports,Electronic Arts,EA Sports,0.47,0.37,0,0.12,0.97,85,7.6,53
NHL 2004,XB,2003,Sports,Electronic Arts,EA Black Box,0.13,0.04,0,0.01,0.18,85,6.5,31
NHL 2004,GC,2003,Sports,Electronic Arts,EA Sports,0.08,0.02,0,0,0.1,85,8.4,7
NFL GameDay 2004,PS2,2003,Sports,Sony Computer Entertainment,989 Sports,0.2,0.16,0,0.05,0.41,65,8.7,6
NFL Fever 2004,XB,2003,Sports,Microsoft Game Studios,Microsoft Game Studios,0.24,0.07,0,0.01,0.32,74,8.8,16
NFL Blitz Pro,PS2,2003,Sports,Midway Games,Midway,0.11,0.09,0,0.03,0.23,73,8.5,14
NFL Blitz Pro,XB,2003,Sports,Midway Games,Midway,0.04,0.01,0,0,0.05,71,6.6,8
NFL Blitz Pro,GC,2003,Sports,Midway Games,Midway,0.02,0,0,0,0.02,71,1,30
Need for Speed Underground,PS2,2003,Racing,Electronic Arts,EA Black Box,3.27,2.83,0.08,1.02,7.2,85,8.6,171
Need for Speed Underground,XB,2003,Racing,Electronic Arts,Electronic Arts,1.09,0.55,0,0.07,1.71,83,8.7,35
Need for Speed Underground,GC,2003,Racing,Electronic Arts,Electronic Arts,0.69,0.48,0.01,0.03,1.21,83,9,45
Need for Speed Underground,GBA,2003,Racing,Electronic Arts,Pocketeers,0.21,0.08,0,0.01,0.29,77,8.2,25
Need for Speed Underground,PC,2003,Racing,Electronic Arts,Black Box,0,0.04,0,0.01,0.05,82,8.3,307
NCAA March Madness 2004,PS2,2003,Sports,Electronic Arts,NuFX,0.5,0.39,0,0.13,1.03,82,8.8,12
NCAA March Madness 2004,XB,2003,Sports,Electronic Arts,EA Sports,0.18,0.05,0,0.01,0.24,81,1,9
NCAA GameBreaker 2004,PS2,2003,Sports,Sony Computer Entertainment,989 Sports,0.11,0.09,0,0.03,0.23,61,1,8
NCAA Football 2004,PS2,2003,Sports,Electronic Arts,EA Sports,1.35,0.09,0,0.23,1.67,94,8.8,81
NCAA Football 2004,XB,2003,Sports,Electronic Arts,EA Sports,0.4,0.02,0,0.02,0.43,88,8.8,19
NCAA Football 2004,GC,2003,Sports,Electronic Arts,EA Sports,0.12,0.03,0,0,0.15,89,7.5,6
NCAA Final Four 2004,PS2,2003,Sports,Sony Computer Entertainment,989 Sports,0.1,0.08,0,0.03,0.2,45,2,14
NBA Street Vol. 2,PS2,2003,Sports,Electronic Arts,Electronic Arts,1.69,0.2,0,0.06,1.95,90,8.8,70
NBA Street Vol. 2,XB,2003,Sports,Electronic Arts,Electronic Arts,0.62,0.04,0,0.02,0.68,89,8.8,24
NBA ShootOut 2004,PS2,2003,Sports,Sony Computer Entertainment,989 Sports,0.13,0.1,0,0.03,0.26,58,7.8,8
NBA Live 2004,PS2,2003,Sports,Electronic Arts,EA Sports,1.57,0.18,0,0.27,2.03,86,7.7,41
NBA Live 2004,XB,2003,Sports,Electronic Arts,EA Sports,0.44,0.04,0,0.02,0.51,85,8.2,11
NBA Live 2004,GC,2003,Sports,Electronic Arts,EA Sports,0.21,0.05,0,0.01,0.27,84,9,4
NBA Jam,XB,2003,Sports,Acclaim Entertainment,Acclaim,0.1,0.03,0,0,0.14,68,9.1,7
NBA Inside Drive 2004,XB,2003,Sports,Microsoft Game Studios,High Voltage Software,0.13,0.04,0,0.01,0.17,71,8.2,11
Naval Ops: Warship Gunner,PS2,2003,Simulation,Tecmo Koei,Micro Cabin,0.05,0.04,0,0.01,0.11,67,8.9,23
NASCAR Thunder 2004,PS2,2003,Racing,Electronic Arts,EA Tiburon,0.53,0.41,0,0.14,1.08,88,8.9,77
NASCAR Thunder 2004,XB,2003,Racing,Electronic Arts,EA Games,0.18,0.05,0,0.01,0.23,85,9.1,15
Naruto: Ultimate Ninja,PS2,2003,Fighting,Atari,CyberConnect2,0.5,0.02,0,0.08,0.61,75,7.7,35
Naruto: Ninja Council,GBA,2003,Action,Tomy Corporation,Aspect,0.16,0.06,0,0,0.22,60,7.1,9
Naruto: Clash of Ninja 2,GC,2003,Fighting,Nintendo,8ing/Raizing,0.44,0.12,0.45,0.03,1.04,74,8.9,39
Naruto: Clash of Ninja,GC,2003,Fighting,Tomy Corporation,Tomy Corporation,0.53,0.14,0,0.02,0.68,72,8.1,20
My Street,PS2,2003,Misc,Sony Computer Entertainment,Idol Minds,0.12,0.09,0,0.03,0.24,46,3.9,14
MVP Baseball 2003,PS2,2003,Sports,Electronic Arts,EA Sports,0.51,0.4,0,0.13,1.04,81,8.9,17
MVP Baseball 2003,XB,2003,Sports,Electronic Arts,EA Sports,0.15,0.04,0,0.01,0.2,82,9,9
Muppets Party Cruise,PS2,2003,Misc,TDK Mediactive,Mass Media,0.03,0.02,0,0.01,0.06,61,8,6
Muppets Party Cruise,GC,2003,Misc,TDK Mediactive,Mass Media,0.02,0,0,0,0.02,6,8,5
Motor Trend presents Lotus Challenge,XB,2003,Racing,Xicat Interactive,Kuju Entertainment,0.02,0.01,0,0,0.03,61,2,42
MotoGP 2,XB,2003,Racing,THQ,Climax Group,0.07,0.02,0,0,0.1,87,8.5,14
Mortal Kombat: Tournament Edition,GBA,2003,Fighting,Midway Games,Criterion Games,0.01,0,0,0,0.01,75,8.1,8
Monster Truck Madness,GBA,2003,Racing,THQ,Tantalus Interactive,0.09,0.03,0,0,0.12,75,2,44
Monster Rancher 4,PS2,2003,Simulation,Tecmo Koei,Tecmo,0.08,0.06,0.19,0.02,0.34,77,9.1,18
Monster 4x4: Masters of Metal,PS2,2003,Racing,Ubisoft,Ubisoft,0.14,0.11,0,0.04,0.28,48,8.3,13
Monster 4x4: Masters of Metal,GC,2003,Racing,Ubisoft,Ubisoft,0.04,0.01,0,0,0.05,49,2,40
Mobile Suit Gundam: Encounters in Space,PS2,2003,Simulation,Namco Bandai Games,Bandai,0.05,0.04,0.61,0.01,0.72,66,8.5,37
MLB SlugFest 20-04,PS2,2003,Sports,Midway Games,Midway,0.26,0.2,0,0.07,0.53,78,8.3,8
MLB SlugFest 20-04,XB,2003,Sports,Midway Games,Midway,0.07,0.02,0,0,0.09,76,1,25
MLB SlugFest 20-04,GC,2003,Sports,Midway Games,Midway,0.03,0.01,0,0,0.04,76,1,15
MLB 2004,PS2,2003,Sports,Sony Computer Entertainment,989 Sports,0.32,0.25,0,0.08,0.66,61,7.9,9
Mission: Impossible - Operation Surma,PS2,2003,Platform,Atari,Paradigm Entertainment,0.14,0.11,0,0.04,0.28,64,7.8,10
Mission: Impossible - Operation Surma,XB,2003,Platform,Atari,Paradigm Entertainment,0.1,0.03,0,0,0.13,67,6.8,4
Mission: Impossible - Operation Surma,GBA,2003,Platform,Atari,M4 Limited,0.03,0.01,0,0,0.04,42,2,18
Midway Arcade Treasures,PS2,2003,Misc,Midway Games,Midway,0.72,0.56,0,0.19,1.46,76,2,38
Midway Arcade Treasures,XB,2003,Misc,Midway Games,Midway,0.33,0.08,0,0.01,0.43,74,2,24
Midway Arcade Treasures,GC,2003,Misc,Midway Games,Midway,0.13,0.03,0,0,0.17,72,8.2,5
Midtown Madness 3,XB,2003,Racing,Microsoft Game Studios,Digital Illusions,0.23,0.07,0,0.01,0.3,76,8.3,30
Midnight Club II,PS2,2003,Racing,Take-Two Interactive,Rockstar San Diego,1.25,0.29,0,0.24,1.78,85,8.5,47
Midnight Club II,XB,2003,Racing,Take-Two Interactive,Rockstar San Diego,0.42,0.06,0,0.02,0.5,86,7.6,12
Microsoft Flight Simulator 2004: A Century of Flight,PC,2003,Simulation,Microsoft Game Studios,Microsoft Game Studios,0,0.06,0,0.01,0.07,88,8.2,49
Metal Arms: Glitch in the System,PS2,2003,Shooter,Vivendi Games,Mass Media,0.17,0.13,0,0.04,0.35,81,8.9,17
Metal Arms: Glitch in the System,XB,2003,Shooter,Vivendi Games,Swingin' Ape,0.13,0.04,0,0.01,0.17,82,8.7,15
Metal Arms: Glitch in the System,GC,2003,Shooter,Vivendi Games,Swingin' Ape,0.08,0.02,0,0,0.1,83,9.3,19
Men in Black II: Alien Escape,GC,2003,Shooter,Infogrames,Atari,0.01,0,0,0,0.01,10,1,17
Mega Man Zero 2,GBA,2003,Platform,Capcom,Inti,0.18,0.07,0.17,0.01,0.43,81,8.6,18
Mega Man X7,PS2,2003,Action,Capcom,"Valuewave Co.,Ltd.",0.22,0.17,0.14,0.06,0.58,58,5.1,38
Mega Man Network Transmission,GC,2003,Platform,Capcom,Arika,0.13,0.03,0,0,0.17,65,7.6,13
Mega Man Battle Chip Challenge,GBA,2003,Misc,Capcom,Capcom,0.08,0.03,0,0,0.11,54,8.3,8
Medal of Honor: Rising Sun,PS2,2003,Shooter,Electronic Arts,EA LA,1.98,2.23,0.13,0.8,5.13,68,7.6,100
Medal of Honor: Rising Sun,XB,2003,Shooter,Electronic Arts,EA LA,0.76,0.36,0,0.05,1.17,65,5.8,28
Medal of Honor: Rising Sun,GC,2003,Shooter,Electronic Arts,EA LA,0.33,0.09,0,0.01,0.42,68,6.4,13
Medal of Honor: Infiltrator,GBA,2003,Shooter,Electronic Arts,Netherock Ltd.,0.11,0.04,0,0,0.15,80,7.2,12
Medabots: Infinity,GC,2003,Role-Playing,Ubisoft,Imagineer,0.04,0.01,0,0,0.05,51,8,7
Maximo vs Army of Zin,PS2,2003,Platform,Capcom,Capcom,0.1,0.08,0,0.03,0.21,83,7.8,13
Max Payne 2: The Fall of Max Payne,PS2,2003,Shooter,Take-Two Interactive,Rockstar Vienna,0.65,0.51,0,0.17,1.34,73,8.2,63
Max Payne 2: The Fall of Max Payne,XB,2003,Shooter,Take-Two Interactive,Remedy Entertainment,0.47,0.15,0,0.02,0.64,84,8.4,49
Max Payne 2: The Fall of Max Payne,PC,2003,Shooter,Take-Two Interactive,Remedy Entertainment,0,0.02,0,0,0.03,86,9,802
Max Payne,GBA,2003,Shooter,Take-Two Interactive,Mobius Entertainment,0.02,0.01,0,0,0.03,78,7.8,13
Mario Party 5,GC,2003,Misc,Nintendo,Hudson,0.97,0.33,0.73,0.06,2.08,69,8.2,57
Mario Golf: Toadstool Tour,GC,2003,Sports,Nintendo,Camelot Software Planning,1.09,0.15,0.25,0.04,1.53,81,8,56
Manhunt,PS2,2003,Action,Take-Two Interactive,Rockstar North,0.63,0.49,0,0.16,1.28,76,8.3,136
Madden NFL 2004,XB,2003,Sports,Electronic Arts,EA Tiburon,1.02,0.02,0,0.05,1.09,92,8.3,48
Madden NFL 2004,GC,2003,Sports,Electronic Arts,EA Tiburon,0.4,0.1,0,0.01,0.51,94,7.7,17
Madden NFL 2004,GBA,2003,Sports,Electronic Arts,BudCat,0.22,0.08,0,0.01,0.31,70,6.6,5
Mace Griffin: Bounty Hunter,PS2,2003,Shooter,Electronic Arts,Warthog,0.09,0.07,0,0.02,0.19,62,8.3,7
Mace Griffin: Bounty Hunter,XB,2003,Shooter,Electronic Arts,Warthog,0.08,0.02,0,0,0.11,64,8.2,11
Lost Kingdoms II,GC,2003,Role-Playing,Activision,From Software,0.04,0.01,0,0,0.06,68,9.1,14
Looney Tunes: Back in Action,PS2,2003,Platform,Warner Bros. Interactive Entertainment,Warthog,0.25,0.19,0,0.06,0.5,51,7.5,6
Looney Tunes: Back in Action,GBA,2003,Platform,Electronic Arts,Warthog,0.13,0.05,0,0,0.18,47,1,18
Looney Tunes: Back in Action,GC,2003,Platform,Warner Bros. Interactive Entertainment,Warthog,0.13,0.03,0,0,0.17,64,5,4
Lock On: Modern Air Combat,PC,2003,Simulation,Ubisoft,Eagle Dynamics,0,0.03,0,0.01,0.03,76,7.5,549
Links 2004,XB,2003,Sports,Microsoft Game Studios,Indie Built,0.21,0.06,0,0.01,0.29,80,9,9
Lifeline,PS2,2003,Adventure,Sony Computer Entertainment,SCEJ,0.03,0.03,0,0.01,0.07,61,7.7,9
Lethal Skies II,PS2,2003,Simulation,Sammy Corporation,"Asmik Ace Entertainment, Inc",0.08,0.06,0,0.02,0.16,73,2,25
Legacy of Kain: Defiance,PS2,2003,Action,Eidos Interactive,Crystal Dynamics,0.26,0.2,0,0.07,0.53,75,9.3,49
Legacy of Kain: Defiance,XB,2003,Action,Eidos Interactive,Crystal Dynamics,0.14,0.04,0,0.01,0.19,74,7.9,21
Legacy of Kain: Defiance,PC,2003,Action,Eidos Interactive,Nixxes Software,0,0.01,0,0,0.01,70,8.7,67
Lara Croft Tomb Raider: The Angel of Darkness,PS2,2003,Action,Eidos Interactive,Core Design Ltd.,0.61,0.48,0,0.16,1.25,52,6.2,106
Kya: Dark Lineage,PS2,2003,Adventure,Atari,Eden Studios,0.08,0.06,0,0.02,0.16,69,8.9,28
Kung Fu Chaos,XB,2003,Fighting,Microsoft Game Studios,Just Add Monsters,0.21,0.06,0,0.01,0.28,68,8.5,27
Kirby Air Ride,GC,2003,Racing,Nintendo,HAL Labs,1.01,0.11,0.45,0.04,1.62,61,7.9,69
Kill.Switch,PS2,2003,Shooter,Sony Computer Entertainment,Namco,0.34,0.27,0,0.09,0.7,73,8.3,19
